Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2013,"74,971","Census Tract 4321.01, Los Angeles County, California",432101,Temple City,1400000US06037432101,"(34.095852, -118.0428825)",Median_Household_Income_2013_1400000US06037432101,01/01/2013
Employment & Income,Income,Median Household Income,2013,"30,759","Census Tract 2422, Los Angeles County, California",242200,Watts,1400000US06037242200,"(33.948204, -118.238625)",Median_Household_Income_2013_1400000US06037242200,01/01/2013
Employment & Income,Income,Median Household Income,2011,"57,219","Census Tract 2719.02, Los Angeles County, California",271902,Mar Vista,1400000US06037271902,"(34.009731, -118.4316705)",Median_Household_Income_2011_1400000US06037271902,01/01/2011
Employment & Income,Income,Median Household Income,2013,"81,700","Census Tract 4313, Los Angeles County, California",431300,Mayflower Village,1400000US06037431300,"(34.1248395, -118.007363)",Median_Household_Income_2013_1400000US06037431300,01/01/2013
Employment & Income,Income,Median Household Income,2011,"101,783","Census Tract 4805, Los Angeles County, California",480500,South Pasadena,1400000US06037480500,"(34.1074225, -118.14498)",Median_Household_Income_2011_1400000US06037480500,01/01/2011
Employment & Income,Income,Median Household Income,2013,"67,816","Census Tract 7009.02, Los Angeles County, California",700902,Beverly Hills,1400000US06037700902,"(34.0620455, -118.3944075)",Median_Household_Income_2013_1400000US06037700902,01/01/2013
Employment & Income,Income,Median Household Income,2010,"28,510","Census Tract 9104.03, Los Angeles County, California",910403,Palmdale,1400000US06037910403,"(34.5765425, -118.1249295)",Median_Household_Income_2010_1400000US06037910403,01/01/2010
Employment & Income,Income,Median Household Income,2013,,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Median_Household_Income_2013_1400000US06037980020,01/01/2013
Employment & Income,Income,Median Household Income,2012,"64,025","Census Tract 2699.06, Los Angeles County, California",269906,Palms,1400000US06037269906,"(34.025156, -118.403135)",Median_Household_Income_2012_1400000US06037269906,01/01/2012
Employment & Income,Income,Median Household Income,2010,,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Median_Household_Income_2010_1400000US06037901003,01/01/2010
Employment & Income,Income,Median Household Income,2014,"53,516","Census Tract 2015.01, Los Angeles County, California",201501,El Sereno,1400000US06037201501,"(34.0872435, -118.1663745)",Median_Household_Income_2014_1400000US06037201501,01/01/2014
Employment & Income,Income,Median Household Income,2010,"120,515","Census Tract 8003.24, Los Angeles County, California",800324,Agoura Hills,1400000US06037800324,"(34.150914, -118.780558)",Median_Household_Income_2010_1400000US06037800324,01/01/2010
Employment & Income,Income,Median Household Income,2013,"77,377","Census Tract 2641.03, Los Angeles County, California",264103,Brentwood,1400000US06037264103,"(34.0553735, -118.466128)",Median_Household_Income_2013_1400000US06037264103,01/01/2013
Employment & Income,Income,Median Household Income,2011,"48,365","Census Tract 5005, Los Angeles County, California",500500,Pico Rivera,1400000US06037500500,"(34.0153955, -118.083676)",Median_Household_Income_2011_1400000US06037500500,01/01/2011
Employment & Income,Income,Median Household Income,2013,"40,401","Census Tract 5706.01, Los Angeles County, California",570601,Long Beach,1400000US06037570601,"(33.8563635, -118.1810925)",Median_Household_Income_2013_1400000US06037570601,01/01/2013
Employment & Income,Income,Median Household Income,2014,"47,633","Census Tract 5706.01, Los Angeles County, California",570601,Long Beach,1400000US06037570601,"(33.8563635, -118.1810925)",Median_Household_Income_2014_1400000US06037570601,01/01/2014
Employment & Income,Income,Median Household Income,2014,"63,500","Census Tract 4027.05, Los Angeles County, California",402705,Pomona,1400000US06037402705,"(34.0712185, -117.731491)",Median_Household_Income_2014_1400000US06037402705,01/01/2014
Employment & Income,Income,Median Household Income,2011,"213,347","Census Tract 2621, Los Angeles County, California",262100,Beverly Crest,1400000US06037262100,"(34.1022655, -118.445475)",Median_Household_Income_2011_1400000US06037262100,01/01/2011
Employment & Income,Income,Median Household Income,2010,"45,330","Census Tract 5421.05, Los Angeles County, California",542105,Compton,1400000US06037542105,"(33.894058, -118.198844)",Median_Household_Income_2010_1400000US06037542105,01/01/2010
Employment & Income,Income,Median Household Income,2013,"79,235","Census Tract 4826, Los Angeles County, California",482600,Monterey Park,1400000US06037482600,"(34.047759, -118.1144605)",Median_Household_Income_2013_1400000US06037482600,01/01/2013
Employment & Income,Income,Median Household Income,2010,"64,861","Census Tract 2723.01, Los Angeles County, California",272301,Mar Vista,1400000US06037272301,"(34.0044305, -118.4228455)",Median_Household_Income_2010_1400000US06037272301,01/01/2010
Employment & Income,Income,Median Household Income,2015,"73,417","Census Tract 2780.01, Los Angeles County, California",278001,Westchester,1400000US06037278001,"(33.955837, -118.4023185)",Median_Household_Income_2015_1400000US06037278001,01/01/2015
Employment & Income,Income,Median Household Income,2013,"47,935","Census Tract 5006, Los Angeles County, California",500600,Pico Rivera,1400000US06037500600,"(34.0076875, -118.088568)",Median_Household_Income_2013_1400000US06037500600,01/01/2013
Employment & Income,Income,Median Household Income,2010,"34,500","Census Tract 5004.02, Los Angeles County, California",500402,Pico Rivera,1400000US06037500402,"(34.0031865, -118.076325)",Median_Household_Income_2010_1400000US06037500402,01/01/2010
Employment & Income,Income,Median Household Income,2014,"37,398","Census Tract 5330.02, Los Angeles County, California",533002,Huntington Park,1400000US06037533002,"(33.9775735, -118.238836)",Median_Household_Income_2014_1400000US06037533002,01/01/2014
Employment & Income,Income,Median Household Income,2016,"28,375","Census Tract 2095.10, Los Angeles County, California",209510,Westlake,1400000US06037209510,"(34.0530605, -118.281509)",Median_Household_Income_2016_1400000US06037209510,01/01/2016
Employment & Income,Income,Median Household Income,2016,"71,806","Census Tract 6035, Los Angeles County, California",603500,Gardena,1400000US06037603500,"(33.898302, -118.3199915)",Median_Household_Income_2016_1400000US06037603500,01/01/2016
Employment & Income,Income,Median Household Income,2016,"95,080","Census Tract 7021.02, Los Angeles County, California",702102,Santa Monica,1400000US06037702102,"(34.00117824, -118.478873)",Median_Household_Income_2016_1400000US06037702102,01/01/2016
Employment & Income,Income,Median Household Income,2014,"20,972","Census Tract 5725, Los Angeles County, California",572500,Long Beach,1400000US06037572500,"(33.8168, -118.2184415)",Median_Household_Income_2014_1400000US06037572500,01/01/2014
Employment & Income,Income,Median Household Income,2013,"98,625","Census Tract 1439.02, Los Angeles County, California",143902,Sherman Oaks,1400000US06037143902,"(34.1378715, -118.418298)",Median_Household_Income_2013_1400000US06037143902,01/01/2013
Employment & Income,Income,Median Household Income,2011,"54,286","Census Tract 4326.02, Los Angeles County, California",432602,El Monte,1400000US06037432602,"(34.081728, -118.005815)",Median_Household_Income_2011_1400000US06037432602,01/01/2011
Employment & Income,Income,Median Household Income,2015,"129,436","Census Tract 6204, Los Angeles County, California",620400,Manhattan Beach,1400000US06037620400,"(33.894625, -118.3873925)",Median_Household_Income_2015_1400000US06037620400,01/01/2015
Employment & Income,Income,Median Household Income,2015,"35,682","Census Tract 2086.10, Los Angeles County, California",208610,Westlake,1400000US06037208610,"(34.071928, -118.280946)",Median_Household_Income_2015_1400000US06037208610,01/01/2015
Employment & Income,Income,Median Household Income,2012,"77,093","Census Tract 1352.01, Los Angeles County, California",135201,West Hills,1400000US06037135201,"(34.1883425, -118.627666)",Median_Household_Income_2012_1400000US06037135201,01/01/2012
Employment & Income,Income,Median Household Income,2013,"107,431","Census Tract 9108.10, Los Angeles County, California",910810,Castaic Canyons,1400000US06037910810,"(34.45705, -118.360889)",Median_Household_Income_2013_1400000US06037910810,01/01/2013
